storage_nodes,rtt_us_effective,workload,concurrency,op_size,seconds,published_mbps,stream_append_p50_us,stream_append_p99_us,stream_publish_p50_us,stream_publish_p99_us,published_bytes,artifact
4,0,native-stream-publish-at-end-4m,32,4194304,2.656499,6467.11,2734.344,4706.718,2287424.973,2302133.097,17179869184,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-at-end-4m,64,4194304,5.147921,6674.49,7041.913,17446.257,4102571.704,4565255.973,34359738368,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-at-end-32m,16,33554432,1.801365,4768.57,44625.825,48756.003,1080327.382,1104799.013,8589934592,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-at-end-32m,32,33554432,3.272770,5249.34,76362.100,101983.465,1993130.963,2230420.194,17179869184,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-at-end-32m,64,33554432,5.612010,6122.54,92659.607,194162.059,3902700.847,4638433.481,34359738368,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-barrier-at-end-4m,16,4194304,1.534105,5599.31,3019.581,4761.443,1135835.153,1135857.549,8589934592,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-barrier-at-end-4m,32,4194304,3.079336,5579.08,4938.178,8759.371,2267623.812,2267674.772,17179869184,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-barrier-at-end-4m,64,4194304,5.781671,5942.87,8133.442,18338.222,4555054.966,4555653.127,34359738368,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-barrier-at-end-32m,16,33554432,1.845192,4655.31,44196.368,48342.776,1134813.462,1134832.132,8589934592,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-barrier-at-end-32m,32,33554432,3.571403,4810.40,73947.433,100865.299,2269485.361,2269538.747,17179869184,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-barrier-at-end-32m,64,33554432,6.388623,5378.27,97867.162,197313.146,4537633.019,4538530.588,34359738368,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-interval-4m,16,4194304,1.412405,6081.78,2989.550,5108.613,282523.321,340820.552,8589934592,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-interval-4m,32,4194304,2.698589,6366.24,4706.804,8593.340,510419.740,874743.957,17179869184,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-interval-4m,64,4194304,4.985984,6891.27,4764.178,17914.692,1009169.355,1861446.223,34359738368,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-interval-32m,16,33554432,1.768871,4856.17,43351.786,48308.165,277520.933,307943.993,8589934592,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-interval-32m,32,33554432,3.142396,5467.12,68101.363,97386.133,536749.768,685127.278,17179869184,native-s4-rtt0/matrix.csv
4,0,native-stream-publish-interval-32m,64,33554432,5.557008,6183.14,68860.600,167603.542,1048153.356,1206090.364,34359738368,native-s4-rtt0/matrix.csv
4,200,native-stream-publish-at-end-4m,16,4194304,1.568363,5477.01,2756.679,5484.097,1199155.375,1205005.813,8589934592,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-at-end-4m,32,4194304,2.690369,6385.69,3100.338,5154.745,2276089.413,2286512.217,17179869184,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-at-end-4m,64,4194304,5.242719,6553.80,5701.884,13582.911,4442820.438,4540489.137,34359738368,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-at-end-32m,16,33554432,1.840621,4666.87,45417.748,49263.968,1109255.052,1139694.024,8589934592,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-at-end-32m,32,33554432,3.318674,5176.73,82966.635,96925.554,1980403.437,2093197.854,17179869184,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-at-end-32m,64,33554432,5.606875,6128.14,88853.218,200702.912,3906839.998,4552693.576,34359738368,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-barrier-at-end-4m,16,4194304,1.606832,5345.88,3331.800,6067.322,1135629.921,1135644.234,8589934592,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-barrier-at-end-4m,32,4194304,3.104896,5533.15,5225.406,8888.352,2268168.616,2268205.316,17179869184,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-barrier-at-end-4m,64,4194304,5.890689,5832.89,8562.135,19105.561,4570317.560,4570806.720,34359738368,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-barrier-at-end-32m,16,33554432,1.871559,4589.72,45703.011,49316.576,1136523.770,1136552.715,8589934592,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-barrier-at-end-32m,32,33554432,3.597145,4775.97,79042.319,104067.715,2268952.779,2269014.767,17179869184,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-barrier-at-end-32m,64,33554432,6.486205,5297.36,107837.662,198964.724,4540302.724,4540756.370,34359738368,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-interval-4m,16,4194304,1.424270,6031.11,3236.879,5782.708,267213.610,305773.109,8589934592,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-interval-4m,32,4194304,2.737421,6275.93,5044.752,8931.438,525401.438,630345.645,17179869184,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-interval-4m,64,4194304,5.251854,6542.40,6954.341,16564.356,1060158.419,1177224.738,34359738368,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-interval-32m,16,33554432,1.680642,5111.10,45308.636,57556.880,276992.189,309500.922,8589934592,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-interval-32m,32,33554432,2.946924,5829.76,57699.060,98267.567,487727.478,755249.125,17179869184,native-s4-rtt200/matrix.csv
4,200,native-stream-publish-interval-32m,64,33554432,5.509092,6236.91,75039.598,188109.908,1047857.498,1306159.963,34359738368,native-s4-rtt200/matrix.csv
4,3600,native-stream-publish-at-end-4m,16,4194304,1.960532,4381.43,6037.769,8376.728,1179256.180,1182050.834,8589934592,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-at-end-4m,32,4194304,3.095712,5549.57,6156.958,7924.311,2292408.968,2304625.902,17179869184,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-at-end-4m,64,4194304,5.454389,6299.47,6800.258,9891.741,4481833.020,4569426.951,34359738368,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-at-end-32m,16,33554432,1.822481,4713.32,46626.019,49361.693,1073649.480,1075263.568,8589934592,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-at-end-32m,32,33554432,3.214859,5343.89,75053.982,99478.934,1956238.783,2071805.686,17179869184,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-at-end-32m,64,33554432,5.626694,6106.56,99154.164,156200.610,3889423.532,4680674.155,34359738368,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-barrier-at-end-4m,16,4194304,1.960847,4380.73,6353.067,8033.446,1138452.187,1138489.764,8589934592,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-barrier-at-end-4m,32,4194304,3.405090,5045.35,8156.706,10696.434,2201391.428,2272378.799,17179869184,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-barrier-at-end-4m,64,4194304,6.066829,5663.54,10419.450,23362.207,4541837.812,4542392.452,34359738368,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-barrier-at-end-32m,16,33554432,1.881620,4565.18,46124.468,49805.951,1139617.900,1139658.584,8589934592,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-barrier-at-end-32m,32,33554432,3.580632,4798.00,74904.252,99257.562,2273433.085,2273471.036,17179869184,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-barrier-at-end-32m,64,33554432,6.315577,5440.47,99724.499,145948.239,4542588.089,4543106.170,34359738368,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-interval-4m,16,4194304,1.729093,4967.88,6328.414,8160.499,173331.190,326757.606,8589934592,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-interval-4m,32,4194304,3.001860,5723.07,7623.631,10569.652,494330.459,714194.501,17179869184,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-interval-4m,64,4194304,5.450399,6304.08,9806.980,16018.135,1044343.944,1183994.934,34359738368,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-interval-32m,16,33554432,1.610794,5332.73,41947.977,50333.759,217002.788,346523.499,8589934592,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-interval-32m,32,33554432,3.049085,5634.43,68296.243,99249.759,471370.869,646237.882,17179869184,native-s4-rtt3600/matrix.csv
4,3600,native-stream-publish-interval-32m,64,33554432,5.518971,6225.75,96437.327,145404.166,965565.848,1225358.605,34359738368,native-s4-rtt3600/matrix.csv
4,700,native-stream-publish-at-end-4m,16,4194304,1.616266,5314.68,3218.084,6163.973,1191834.104,1195773.468,8589934592,native-s4-rtt700/matrix.csv
